days,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
1/25,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/26,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1/27,0,1,2,1,5,1,0,0,3,1,0,0,3,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0
1/28,0,0,2,0,14,2,0,0,6,2,0,0,6,2,1,0,1,1,0,1,2,2,0,0,2,1,1,2,0,6,2,7,1,0,6,0,1,1,1,0,1,2,7,1,1,1,4,0,2,0
1/29,2,0,7,0,23,3,0,1,2,1,1,0,1,1,0,0,1,3,0,0,4,1,1,0,1,0,1,1,0,1,0,9,1,0,5,2,0,5,0,0,0,2,6,1,0,0,1,0,1,0
1/30,0,0,0,3,14,2,0,0,5,2,0,0,1,1,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0,1,0,4,0,0,2,0,1,1,0,1,0,0,3,1,0,0,1,0,1,0
1/31,0,0,1,0,12,0,1,0,2,2,1,0,3,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,1,6,2,0,3,0,1,2,0,0,0,0,3,0,0,1,2,0,1,0
